Timestamp	How old are you? Please write a number	What is your gender?	How often do you play video games (on average)?	If you are a student, are your studies related to videogames?	If you have a job, do you work in the videogame industry?	I felt my perception of time change during the experience	I felt like everything slowed down	I felt my sense of self become somehow smaller	I experienced a sense of oneness with all things	I felt humbled by the experience	I felt closely connected to humanity	I experienced something greater than myself	I had chills or goosebumps	I struggled to take in all that I was experiencing at once	I felt challenged to mentally process what I was experiencing	I think the experience had a positive impact on me	I felt fear or discomfort	I had a sense of peace of mind	I felt admiration towards the game developers	After the experience, I wanted to be a better person	Are there any other comments you wish to add about your feelings during or after the experience?	What is the title of the game?	What genre does the game belong to? Choose all that apply	How would you rate the graphics?	How would you describe the graphics of the game? Choose all that apply.	How would you rate the story (if not applicable skip this question)?	How would you describe the story of the game? Choose all that apply. (If the game did not have a story, select "not applicable")	How would you rate the soundtrack?	How would you describe the soundtrack of the game? Choose all that apply	How did you like playing the main character (if applicable)?	Which of these items apply to your experience with the main character? You can select as many items as you want. (If the game did not involve controlling a character, select "not applicable")	In what place(s) was the game set? Choose all the locations that you can remember from the game	Which of these characteristics apply to the game? Choose all that apply	When the experience occurred, were you playing using a virtual reality headset?	How would you describe the VR experience (if you replied "no" to the previous question, select "not applicable")? Choose all that apply	Is there anything else you would like to tell me about the game that was not covered by the previous questions?
4/16/2022 14:28:43	22	Non-binary	2-6 hours per week	No	No	5	5	3	5	4	2	1	2	2	2	4	4	4	2	1		Legend of Zelda: Breath of the Wild	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), action (eg. platform, survival, stealth, shooter, fighting...), strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...), adventure (eg. text or graphic adventures, visual novels...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning	4	simple and easy to follow, rich in subplots, captivating	4	pleasant, on spot, perfect for the game	5	The character was simple, I felt represented by the main character, I identified myself with the main character, to a certain extent	post-apocalyptic world, desert, fantasy world, woods, forests, lakes, big bodies of water, fields, mountains, icy deserts	the game was challenging at the right point, the game was addictive, the game was challenging, sometimes too much, the game kept me focused and absorbed, the game was very easy	No	not applicable	
4/16/2022 14:29:46	28	Male	1-2 hours per week	No	No	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action-adventure (eg. metroidvania)	5	simple, visually stunning, dark	3	confusing, captivating, includes plot-twists, complex, rich in subplots	5	captured my attention while playing, on spot, perfect for the game, chilling	5	I felt like my choices could affect the course of the game, I could choose the character out of a pre-made set, I felt represented by the main character, The character was customizable, I identified myself with the main character, to a certain extent, The character was simple, I was able to shape, at least partially, the main character's personality	medieval towns, desert, post-apocalyptic world, fantasy world, woods, forests	the game was addictive, the game kept me focused and absorbed, the game was challenging, sometimes too much, the game was fast-paced and exciting, the game was challenging at the right point	No	not applicable	Games teach a lot
4/16/2022 14:32:07	21	Female	2-6 hours per week	No	No	1	2	3	4	4	2	2	3	2	1	5	1	5	5	2		theHunter: Call of the Wild	simulation (eg. life simulation, vehicle simulation...)	5	visually stunning, realistic	2	simple and easy to follow, almost non-existent	4	pleasant, on spot, perfect for the game	3	The character was simple, I could choose the character out of a pre-made set, there was a character - but I don't identify with it at all. It feels like it only exists for multiplayer purposes	woods, forests, mountains, tundra/taiga, modern countryside, savannah	the game was challenging, sometimes too much, the game was addictive, the game was slow-paced and relaxing	No	not applicable	
4/16/2022 14:45:48	21	Male	more than 6 hours per week	No	No	5	2	4	5	5	5	5	5	4	5	5	1	5	5	5		The Witcher 3: Wild Hunt	adventure (eg. text or graphic adventures, visual novels...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	realistic, visually stunning	5	rich in subplots, captivating, includes plot-twists	5	pleasant, chilling, on spot, perfect for the game	5	I was able to shape, at least partially, the main character's personality, I identified myself with the main character, to a certain extent, I felt represented by the main character, I felt like my choices could affect the course of the game	medieval towns, woods, forests	the game kept me focused and absorbed, the game was addictive, the game was challenging at the right point, the game was fast-paced and exciting	No	I didn't use one	
4/16/2022 14:51:57	24	Female	2-6 hours per week	No	No	5	4	2	3	4	3	4	5	5	2	4	1	5	5	2		Horizon Zero Dawn	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning, realistic	5	rich in subplots, complex, captivating	4	on spot, perfect for the game, pleasant, captured my attention while playing	5	I identified myself with the main character, to a certain extent	woods, forests, post-apocalyptic world, desert	the game was challenging at the right point, the game was addictive, the game kept me focused and absorbed	No	not applicable	
4/16/2022 15:02:28	24	Male	more than 6 hours per week	No	No	4	3	2	1	4	3	2	4	2	1	4	1	3	5	2		Horizon Zero Dawn 	action (eg. platform, survival, stealth, shooter, fighting...), adventure (eg. text or graphic adventures, visual novels...)	5	realistic, visually stunning	5	includes plot-twists, captivating	4	on spot, perfect for the game, pleasant, captured my attention while playing	5	I identified myself with the main character, to a certain extent	woods, forests, desert, post-apocalyptic world	the game kept me focused and absorbed, the game was addictive, the game was challenging at the right point	No	not applicable	
4/16/2022 16:10:32	45	Non-binary	less than 1 hour per week	No	No	4	2	5	4	3	4	2	5	1	3	3	2	1	5	2		Getting Over It	action-adventure (eg. metroidvania), adventure (eg. text or graphic adventures, visual novels...)	5	simple	5	includes plot-twists	2	on spot, perfect for the game, chilling		I could choose the character out of a pre-made set, I identified myself with the main character, to a certain extent	fantasy world, woods, forests	the game was fast-paced and exciting, the game was very easy	Yes	striking, wonderful	
4/16/2022 16:20:15	24	Male	more than 6 hours per week	No	No	2	2	4	2	5	3	5	5	4	4	5	2	5	5	4	It took me a long time to process the feeling but I feel that what I experienced during that moment still affects and guides me to this day even after several years	Mafia: The City of Lost Haven	action (eg. platform, survival, stealth, shooter, fighting...)	3	realistic, Dated	5	includes plot-twists, captivating	5	on spot, perfect for the game, captured my attention while playing	5	I identified myself with the main character, to a certain extent	modern city, prohibition era USA	the game was addictive, the game kept me focused and absorbed, the game was fast-paced and exciting	No	not applicable	The moment that left me in awe was the ending and particularly the end monologue by the main character
4/16/2022 16:23:09	23	Prefer not to say	less than 1 hour per week	No	No	5	4	3	1	4	5	3	5	4	4	5	1	5	5	4		Dark Souls 3	adventure (eg. text or graphic adventures, visual novels...), action-adventure (eg. metroidvania), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning, realistic	5	complex, rich in subplots, confusing	5	captured my attention while playing, on spot, perfect for the game, chilling	5	The character was customizable, The character was simple	medieval towns, fantasy world, woods, forests, post-apocalyptic world	the game was challenging, sometimes too much, the game was addictive, the game kept me focused and absorbed	No	not applicable	
4/16/2022 16:40:06	20	Male	2-6 hours per week	No	No	5	4	3	2	1	1	1	4	3	4	5	1	3	2	1		Destiny 2	action-adventure (eg. metroidvania), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...)	5	realistic, visually stunning	5	complex, captivating, includes plot-twists	3	on spot, perfect for the game	5	The character was customizable	space, spacecraft	the game kept me focused and absorbed, the game was challenging at the right point, the game was fast-paced and exciting, the game was addictive	No	not applicable	
4/16/2022 17:21:43	27	Female	2-6 hours per week	No	No	4	3	3	4	4	3	3	4	4	3	4	4	3	4	4		Red Dead Redemption 2	action (eg. platform, survival, stealth, shooter, fighting...), action-adventure (eg. metroidvania)	5	realistic	5	rich in subplots, complex, includes plot-twists, captivating	4	captured my attention while playing, pleasant	5	The character was customizable, I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game, I identified myself with the main character, to a certain extent	woods, forests, old west	the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was addictive, the game was challenging at the right point	No	not applicable	
4/16/2022 18:02:19	30	Male	more than 6 hours per week	No	Yes	4	3	1	1	3	2	1	4	1	1	4	1	4	4	2	By these questions, it sounds like your "awe" was more than discovering beautiful view or clever plot twist 	Elden Ring	action-adventure (eg. metroidvania), action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	realistic, visually stunning, artistic, saturated	4	complex, rich in subplots, includes plot-twists, hidden	3	Unnoticeable	3	The character was customizable, Even with customization and few choices mostly a blank slate/tabula rasa/non-defined	post-apocalyptic world, woods, forests, medieval towns, desert, fantasy world, cave, mine, castles, forts, tree, underground river	the game was challenging at the right point, the game kept me focused and absorbed, the game was slow-paced and relaxing	No	not applicable	
4/16/2022 20:55:10	28	Male	2-6 hours per week	No	No	5	4	4	4	5	4	4	5	3	5	5	5	2	5	4	The choices I had to make to have as many of my citizens survive the game made me question my morality and left me feeling both proud to have survived and disgusted about the things I had to do.	Frostpunk	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), simulation (eg. life simulation, vehicle simulation...), strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...), City-builder with role-playing elements.	5	visually stunning, realistic	4	simple and easy to follow, captivating, includes plot-twists, rich in subplots	5	on spot, perfect for the game, captured my attention while playing, chilling		Not applicable, I felt like my choices could affect the course of the game	post-apocalyptic world, desert, modern city, It is set in a snow-filled crater where you struggle to build a somewhat modern town.	the game was fast-paced and exciting, the game was challenging at the right point, the game kept me focused and absorbed, the game was addictive	No	not applicable	
4/17/2022 13:16:34	19	Male	more than 6 hours per week	Yes	No	5	2	5	4	5	1	4	5	5	3	5	3	3	5	5	Recalling the experience has made me sad about the fact that those experiences are super rare.	Outer Wilds	action-adventure (eg. metroidvania), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	5	simple, visually stunning, disturbing	5	complex, rich in subplots, includes plot-twists, captivating, Non-linear	5	pleasant, on spot, perfect for the game, chilling, captured my attention while playing, subtle	5	The character was simple, I identified myself with the main character, to a certain extent	post-apocalyptic world, medieval towns, space, spacecraft, desert, woods, forests, sea, ocean	the game kept me focused and absorbed, the game was challenging at the right point, the game was slow-paced and relaxing	No	not applicable	It's an existential time-loop game that really makes you think, and my favorite game of all time. Please play Outer Wilds! ♥️
4/17/2022 13:52:35	28	Male	2-6 hours per week	No	No	4	3	1	4	3	2	4	3	3	4	5	1	4	4	3		Runescape	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), adventure (eg. text or graphic adventures, visual novels...)	3	simple	4	rich in subplots, includes plot-twists, simple and easy to follow	4	pleasant		Not applicable	fantasy world	the game was addictive, the game kept me focused and absorbed	No	not applicable	
4/17/2022 13:55:14	20	Male	2-6 hours per week	Yes	No	4	5	4	2	4	2	4	5	5	4	4	2	4	5	3	I think I felt excited for the adventure ahead yet I also felt nervous/anxious about the challenges that may lay ahead	Legend of Zelda: Breath of the Wild	action (eg. platform, survival, stealth, shooter, fighting...), action-adventure (eg. metroidvania), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning, simple, realistic	5	captivating, complex, includes plot-twists, rich in subplots, simple and easy to follow	5	pleasant, captured my attention while playing, on spot, perfect for the game	5	The character was customizable, I identified myself with the main character, to a certain extent, I felt represented by the main character	fantasy world, woods, forests	the game was addictive, the game kept me focused and absorbed, the game was challenging at the right point, the game was slow-paced and relaxing	No	not applicable	Probably one of my favorite games 
4/17/2022 17:42:28	38	Female	2-6 hours per week	No	No	4	4	4	1	2	2	4	4	3	3	4	3	3	5	1		Ni No Kuni	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), adventure (eg. text or graphic adventures, visual novels...)	5	visually stunning	5	rich in subplots, simple and easy to follow, captivating, Heartwarming	5	pleasant, captured my attention while playing, on spot, perfect for the game	5	The main character was sweet	desert, medieval towns, woods, forests, sky, sea, ocean, fantasy world	the game was addictive, the game kept me focused and absorbed	No	not applicable	
4/18/2022 17:12:50	26	Non-binary	1-2 hours per week	No	No	2	1	2	2	1	1	1	2	1	2	2	1	2	1	2		Pokémon Legends Arceus	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action-adventure (eg. metroidvania)	5	visually stunning, realistic	5	includes plot-twists, captivating, complex	5	on spot, perfect for the game, captured my attention while playing, pleasant, chilling	5	I could choose the character out of a pre-made set, I identified myself with the main character, to a certain extent, I felt represented by the main character, The character was customizable	fantasy world, sea, ocean, woods, forests	the game kept me focused and absorbed, the game was addictive, the game was challenging at the right point, the game was slow-paced and relaxing, the game was fast-paced and exciting	No	not applicable	
4/18/2022 18:02:34	35	Male	2-6 hours per week	No	No	4	4	3	2	4	3	1	3	4	4	4	1	2	5	4		Shadow of the Colossus (PS4)	action (eg. platform, survival, stealth, shooter, fighting...)	5	visually stunning	5	complex, includes plot-twists	5	on spot, perfect for the game, captured my attention while playing	1	I identified myself with the main character, to a certain extent, I felt like my choices could affect the course of the game, I hated the character because I realized what he wanted - and I was doing - was questionable and we might be the bad guys here.	fantasy world, woods, forests, sky, desert	the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/18/2022 18:37:38	24	Female	more than 6 hours per week	No	No	5	2	1	4	4	4	1	5	2	1	3	2	1	1	4		The Stanley Parable	adventure (eg. text or graphic adventures, visual novels...)	3	simple	4	confusing, complex	2	irrelevant, left me indifferent	3	I felt like my choices could affect the course of the game, I identified myself with the main character, to a certain extent, The character is metaphoric	woods, forests, space, spacecraft, modern city, glitch dimension, laboratory, office building	the game was very easy, the game kept me focused and absorbed, the game was slow-paced and relaxing	No	not applicable	
4/18/2022 19:43:07	27	Male	more than 6 hours per week	No	No	5	3	4	4	5	5	5	5	4	4	5	2	3	5	5		Final Fantasy XIV	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	3	Decent	5	complex, captivating, rich in subplots, includes plot-twists	5	on spot, perfect for the game, captured my attention while playing, chilling, pleasant	5	The character was customizable, I was able to shape, at least partially, the main character's personality	fantasy world	the game was slow-paced and relaxing, the game was challenging at the right point, the game kept me focused and absorbed, the game was fast-paced and exciting	No	not applicable	
4/18/2022 20:43:10	21	Male	more than 6 hours per week	No	No	3	1	1	1	1	1	1	3	1	1	4	1	1	3	1	gay	Red Dead Redemption 2	adventure (eg. text or graphic adventures, visual novels...), action-adventure (eg. metroidvania), action (eg. platform, survival, stealth, shooter, fighting...)	5	realistic, visually stunning	4	rich in subplots, captivating, complex, includes plot-twists	4	pleasant	5	The character was customizable, I felt like my choices could affect the course of the game, I identified myself with the main character, to a certain extent	old west 	the game was fast-paced and exciting, the game was challenging at the right point	No	not applicable	gay black
4/18/2022 23:31:21	31	Male	less than 1 hour per week	No	No	5	5	2	3	1	1	1	5	2	1	4	1	1	5	1		Final Fantasy X	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	visually stunning, Dated	5	captivating	5	captured my attention while playing	5	I dont know	fantasy world, post-apocalyptic world	the game was addictive, the game was challenging at the right point	No	not applicable	I played it with my brothers, on sunny days with the curtains closed so we could see. They were great times!
4/19/2022 1:02:43	21	Male	more than 6 hours per week	No	No	4	1	3	4	2	2	4	5	5	4	5	2	2	5	3		Monster Hunter: World (Iceborne DLC) 	action (eg. platform, survival, stealth, shooter, fighting...)	4	realistic, fantasy	2	simple and easy to follow	5	captured my attention while playing, on spot, perfect for the game, pleasant	5	The character was customizable, The character was simple	woods, forests, fantasy world, desert	the game was fast-paced and exciting, the game kept me focused and absorbed, the game was challenging, sometimes too much, the game was addictive	No	not applicable	
4/19/2022 4:27:20	24	Female	more than 6 hours per week	No	No	4	4	4	3	3	4	4	5	5	3	4	2	3	5	4		Bioshock	action-adventure (eg. metroidvania), action (eg. platform, survival, stealth, shooter, fighting...)	3	Dated	5	captivating, complex, includes plot-twists, simple and easy to follow	5	captured my attention while playing, pleasant, on spot, perfect for the game	4	I identified myself with the main character, to a certain extent, I was able to shape, at least partially, the main character's personality	fantasy world, sea, ocean	the game was challenging at the right point, the game was addictive, the game kept me focused and absorbed, the game was fast-paced and exciting	No	not applicable	
4/19/2022 8:01:43	20	Female	2-6 hours per week	Yes	No	3	4	4	5	1	4	5	4	2	1	5	3	5	5	5		Genshin Impact. Witcher 3. 	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning	5	complex, captivating, rich in subplots	5	on spot, perfect for the game, captured my attention while playing	5	I identified myself with the main character, to a certain extent, I was able to shape, at least partially, the main character's personality, I felt like my choices could affect the course of the game	fantasy world, woods, forests, sea, ocean, medieval towns	the game was addictive, the game was slow-paced and relaxing, the game was fast-paced and exciting, the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	
4/19/2022 13:24:32	31	Male	2-6 hours per week	No	No	1	1	1	1	1	1	3	5	2	1	4	1	3	4	3		Phoenix Wright: Ace Attorney - Trials and Tribulations	adventure (eg. text or graphic adventures, visual novels...)	4	Stylized	5	complex, includes plot-twists, captivating	5	captured my attention while playing, on spot, perfect for the game, Hype	4	Not applicable	modern city	the game was challenging at the right point, the game kept me focused and absorbed	No	not applicable	The moment of awe came as the result of myself figuring out the main twist in the final trial, which was then further boosted when the moment came to accuse the killer. At this point, a certain peice of music kicked in that turned the moment up to 11. Then the actual moment of accusation occured which was excellent. I had gone from lying in my bed, to sitting up the whole time, with literal chills and goosebumps. I thought my head was going to explode with excitement. . It was a long moment, but none of it felt drawn out, and the whole time i couldn't believe it. It was a perfect combination of music, sound effects, and story. Graphical detail didn't really have anything to do with it. I would like to add that this moment would only have been possible after playing the first two games in the series. 
4/19/2022 13:33:39	22	Male	more than 6 hours per week	No	No	4	2	1	1	4	3	5	1	1	3	5	1	4	5	3		Horizon Zero Dawn	action-adventure (eg. metroidvania)	5	visually stunning	4	captivating, simple and easy to follow, includes plot-twists, awakens curiosity	5	pleasant, captured my attention while playing, on spot, perfect for the game	4	I was able to shape, at least partially, the main character's personality	post-apocalyptic world, woods, forests, desert, medieval towns	the game was slow-paced and relaxing, the game kept me focused and absorbed, the game was challenging at the right point, the game was addictive	No	not applicable	
4/19/2022 13:46:38	42	Female	2-6 hours per week	No	Yes	4	4	3	4	3	3	5	5	4	1	5	1	5	5	3		Outer Wilds	action (eg. platform, survival, stealth, shooter, fighting...), simulation (eg. life simulation, vehicle simulation...), adventure (eg. text or graphic adventures, visual novels...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	4	simple, visually stunning	5	includes plot-twists, captivating, Masterpiece, unforgettable experience, inspiring, mysterious, touching 	5	on spot, perfect for the game, pleasant, captured my attention while playing	5	I identified myself with the main character, to a certain extent	space, spacecraft, fantasy world, sea, ocean, sky	the game was slow-paced and relaxing, the game was fast-paced and exciting, the game was addictive, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 14:21:08	31	Female	more than 6 hours per week	No	No	1	1	1	1	1	1	1	2	2	1	4	1	4	4	1		Legend of Zelda: Breath of the Wild	action-adventure (eg. metroidvania)	5	visually stunning, realistic	3	simple and easy to follow, rich in subplots	5	on spot, perfect for the game	5	There is a main character, but none of the above particularly apply	desert, woods, forests, sea, ocean, small towns, snowy mountains, fields, vulcano, castle	the game was slow-paced and relaxing, the game was fast-paced and exciting, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 14:34:08	21	Male	more than 6 hours per week	No	No	5	5	2	4	5	3	5	5	2	4	5	3	5	5	5		Persona 5 Royal	simulation (eg. life simulation, vehicle simulation...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	5	visually stunning, unique art style	5	includes plot-twists, rich in subplots, complex	5	on spot, perfect for the game, captured my attention while playing	5	I felt like my choices could affect the course of the game, I identified myself with the main character, to a certain extent, I was able to shape, at least partially, the main character's personality	modern city, fantasy world	the game was challenging at the right point, the game was addictive, the game was fast-paced and exciting	No	not applicable	
4/19/2022 14:55:26	27	Male	more than 6 hours per week	No	No	4	3	3	4	4	4	4	5	2	2	4	2	3	5	3	Although i would not call it discomfort, there was a sense of mild, bittersweet melancholy. I'm 90% sure it had to do with the fact that the part that awed me dealt with death and endings, but with a hopeful future ahead. Also had to do with the fact that the characters had been with us for 8 or so years, and now there is a slight uncertainty wether or not we will see them again.	Guild Wars 2	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), adventure (eg. text or graphic adventures, visual novels...), action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...)	4	visually stunning, simple, Cartoon-like	4	captivating, rich in subplots, includes plot-twists, simple and easy to follow, weak, contains plot holes	4	pleasant, on spot, perfect for the game, captured my attention while playing	5	I was able to shape, at least partially, the main character's personality, I felt represented by the main character, I identified myself with the main character, to a certain extent, The character was customizable	desert, sky, fantasy world, sea, ocean, woods, forests	the game kept me focused and absorbed, the game was challenging at the right point, the game was slow-paced and relaxing, the game was fast-paced and exciting, the game was addictive	No	not applicable	The game is obviously not perfect and some things of the story are not necessarily well explained or tackled. However, the story was years long, and it coming to an end felt great. It's full of bright spots, that often deal with "human" issues like love and death. For an example, should it be useful, i suggest to check the video that recaps the story up to the latest expansion on youtube called: Guild Wars 2: End of Dragons - The Story Thus Far
4/19/2022 15:02:51	22	Male	more than 6 hours per week	No	No	5	3	2	5	3	2	4	4	1	2	4	2	4	5	3		Overwatch 	action (eg. platform, survival, stealth, shooter, fighting...), sports (eg. racing, sports-based fighting, competitive...)	5	simple	3	complex	4	pleasant, captured my attention while playing, on spot, perfect for the game		Not applicable	desert, medieval towns, fantasy world, space, spacecraft, post-apocalyptic world, modern city	the game was fast-paced and exciting, the game kept me focused and absorbed, the game was addictive, the game was challenging at the right point	No	not applicable	
4/19/2022 15:05:47	27	Male	more than 6 hours per week	No	No	4	4	4	2	4	1	5	4	3	3	1	1	1	4	1		Elden Ring	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	4	visually stunning, disturbing		confusing	4	on spot, perfect for the game, captured my attention while playing	5	The character was customizable	medieval towns, woods, forests, fantasy world, sky	the game was slow-paced and relaxing, the game was fast-paced and exciting, the game kept me focused and absorbed, the game was challenging at the right point, the game was addictive	No	not applicable	
4/19/2022 15:21:21	44	Male	2-6 hours per week	No	No	3	3	3	3	4	3	3	3	3	2	4	1	3	5	3	God-like	Hegemony series (Gold / Clash of the Ancients)	strategy (eg. turn-based strategy, tower defense, wargame, multiplayer online battle arena...)	4	realistic, functional	3	not applicable, captivating, dynamic sandbox + historical campaign	4	chilling, on spot, perfect for the game		Not applicable	antiquity	the game was slow-paced and relaxing, the game was challenging at the right point, the game kept me focused and absorbed, the game was addictive	No	not applicable	The awe mainly came from the seamless camera zoom from strategy map to tactical map and back, on a very grand scale
4/19/2022 15:35:35	31	Male	more than 6 hours per week	No	No	5	4	5	3	4	3	3	4	2	2	4	1	4	4	2		Elex 2	role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...)	4	realistic	5	includes plot-twists, rich in subplots, complex	4	pleasant	5	I identified myself with the main character, to a certain extent, I felt like my choices could affect the course of the game	fantasy world, post-apocalyptic world, medieval towns	the game was addictive, the game kept me focused and absorbed, the game was challenging at the right point	No	not applicable	
4/19/2022 15:42:10	27	Male	2-6 hours per week	No	Yes	5	3	1	1	2	3	5	3	2	3	5	4	3	5	5	Outerwilds 	Outer Wilds	adventure (eg. text or graphic adventures, visual novels...), puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...)	4	simple	5	includes plot-twists, rich in subplots, complex, captivating	5	captured my attention while playing, on spot, perfect for the game, pleasant	3	The character was simple	space, spacecraft, fantasy world	the game was challenging at the right point, the game was addictive	No	not applicable	
4/19/2022 15:48:47	24	Male	more than 6 hours per week	No	No	4	3	3	3	3	4	4	4	5	4	3	1	4	5	3	It's an experience you don't get to often in the modern video game landscape	Elden Ring	action-adventure (eg. metroidvania), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	4	visually stunning	5	complex	5	on spot, perfect for the game		The character was customizable, I felt represented by the main character, I felt like my choices could affect the course of the game	fantasy world, woods, forests, medieval towns, desert	the game kept me focused and absorbed, the game was addictive, the game was fast-paced and exciting, the game was challenging, sometimes too much	No	not applicable	Play it, it's amazing
4/19/2022 15:50:51	31	Male	2-6 hours per week	No	No	3	4	2	3	4	3	4	5	4	3	4	4	3	4	3		Elden Ring	action-adventure (eg. metroidvania), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), action (eg. platform, survival, stealth, shooter, fighting...)	4	visually stunning	4	complex, rich in subplots	4	on spot, perfect for the game	4	The character was customizable, The character was simple	medieval towns, woods, forests, fantasy world	the game was challenging at the right point, the game kept me focused and absorbed, the game was fast-paced and exciting, the game was challenging, sometimes too much, the game was addictive	No	not applicable	
4/19/2022 16:06:02	42	Male	2-6 hours per week	No	No	5	4	4	3	1	4	3	5	4	4	5	3	5	5	4		Elite: Dangerous	simulation (eg. life simulation, vehicle simulation...)	5	realistic, visually stunning	3	confusing, complex	5	pleasant, on spot, perfect for the game		Not applicable	space, spacecraft	the game was challenging at the right point, the game was slow-paced and relaxing, the game kept me focused and absorbed	Yes	immersive, striking, wonderful	
4/19/2022 16:18:20	20	Male	2-6 hours per week	No	No	2	2	4	4	4	2	5	5	2	4	5	1	5	5	3		Legend of Zelda: Breath of the Wild	action-adventure (eg. metroidvania), action (eg. platform, survival, stealth, shooter, fighting...)	4	simple, visually stunning	3	simple and easy to follow	5	pleasant, on spot, perfect for the game, Natural; simple but always present like the wind	5	The character was simple, I identified myself with the main character, to a certain extent	sea, ocean, desert, woods, forests, fantasy world	the game was slow-paced and relaxing, the game was challenging at the right point, the game was addictive, the game kept me focused and absorbed	No	not applicable	
4/19/2022 16:38:52	28	Male	more than 6 hours per week	No	No	4	4	5	5	5	5	5	5	5	4	5	2	5	5	5		Outer Wilds	puzzle (eg. hidden objects, reveal the picture, tile matching, traditional puzzle...), simulation (eg. life simulation, vehicle simulation...)	3	simple	5	rich in subplots, includes plot-twists, captivating, complex	5	on spot, perfect for the game, pleasant, chilling, captured my attention while playing	5	I identified myself with the main character, to a certain extent, The character was simple, I was able to shape, at least partially, the main character's personality	sea, ocean, sky, woods, forests, desert, space, spacecraft	the game kept me focused and absorbed, the game was slow-paced and relaxing, the game was addictive, the game was challenging at the right point	No	not applicable	Moment of awe was driven primarily by theme of the game culminating in satisfying resolution. 
4/19/2022 16:54:23	15	Male	more than 6 hours per week	No	No	5	2	3	2	2	3	3	5	2	3	4	5	5	5	4		Elden Ring	action (eg. platform, survival, stealth, shooter, fighting...), role-playing (eg. action RPG, MMORPG, roguelikes, monster tamer, JRPG...), Souls-Like/Soulsborne	3	visually stunning, Art style is top tier 	2	Story is almost non existent; however it shines in terms of lore	5	on spot, perfect for the game, captured my attention while playing	5	The character was customizable	fantasy world	the game was challenging at the right point, the game kept me focused and absorbed, the game was addictive, the game was fast-paced and exciting, the game was challenging, sometimes too much	No	not applicable	
